District,2019_visitors,Population,Population/Tourist_2019
Adilabad,775895,708972,0.91374735
Bhadradri Kothagudem,12817737,1069261,0.08342042
Hyderabad,13802362,3943323,0.285699143
Jagitial,3086115,985417,0.319306636
Jangaon,328890,566376,1.722083371
Jayasankar Bhupalpally,662530,416763,0.629047741
Jogulamba Gadwal,2007995,609990,0.303780637
Kamareddy,534,972625,1821.395131
Karimnagar,77491,1005711,12.9784233
Khammam,1413440,1401639,0.991650866
Komaram Bheem,19189,515812,26.88060868
Mahabubabad,152885,774549,5.066219708
Mahabubnagar,2534815,919903,0.362907352
Mancherial,269810,807037,2.991130796
Medak,5452570,767428,0.140746107
Mulugu,1819800,257744,0.141633146
Nagarkurnool,2093312,893308,0.426743839
Nalgonda,140918,1618416,11.48480677
Narayanpet,389250,566874,1.456323699
Nirmal,3816778,709418,0.18586829
Nizamabad,46333,1571022,33.90719358
Peddapalli,16581,795332,47.96646764
Rajanna Sircilla,16832897,552037,0.032795127
Sangareddy,4553160,1527628,0.335509404
Siddipet,2987864,1012065,0.338725257
Wanaparthy,298639,577758,1.934636802
Warangal (Rural),353500,718537,2.032636492
Warangal (Urban),1795230,1080858,0.602072158
Yadadri Bhuvanagiri,4489374,739448,0.164710715
